Country Name,CO2 emissions (metric tons per capita),Total greenhouse gas emissions (kt of CO2 equivalent),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area),Population growth (annual %),Population (total),Urban population growth (annual %)
East Asia & Pacific,6.311094186342994,18822910.6306507,97.00115168523966,13.582529948131226,16.393341440492467,0.6714453843003737,2282877297.0,2.272759970606697
East Asia & Pacific (IDA & IBRD countries),5.832029551340689,15269971.5754426,97.40322903026082,15.741365189541025,14.963140271786765,0.7201920408911124,2013077785.5714285,2.6902202716746744
East Asia & Pacific (excluding high income),5.780410311450436,15379925.3059466,96.67471765210331,15.76218394907305,14.869948485344198,0.7174478773715224,2038295646.857143,2.6625542181749258
Ecuador,2.60936504116264,52746.572694058894,98.62192549999999,12.952664130266601,21.134079289918464,1.6283563096442628,16243752.42857143,1.8471475937956099
Egypt,2.38616142230033,295499.745446082,99.91575749715169,5.709372872748725,13.137370255425003,2.1740419083929114,92429620.14285715,2.0753628084380686
El Salvador,1.0202813153784678,12577.7897375628,95.78991316048177,27.0207851623572,8.777524448225039,0.47545202423931654,6327036.285714285,1.6528601633663627
Equatorial Guinea,4.840438109455877,6374.17105425022,66.46417236328125,6.6940880271428025,19.267839302429465,4.035397300728738,1169228.857142857,4.988266816913943
Eritrea,NaN,4977.88803281947,45.26542599995931,80.04016597659202,4.8715939593562325,NaN,NaN,NaN
Estonia,14.422179171885766,23292.7792109021,100.0,25.546674087434575,20.205649880494402,-0.0707187517337905,1317814.7142857143,0.12032426832885601
Eswatini,1.0727659037496133,3478.0345321370396,64.7320156097412,65.74651748405333,4.188672137524887,0.8303646717074089,1105731.4285714286,1.5057842144651157
Ethiopia,0.10735607726822843,185292.168103158,35.75505358378093,92.7455571519797,18.473306871100135,2.743467569733187,100895793.0,4.995359905171178
Euro area,6.772159971377916,3160160.76479845,100.0,15.409408042888899,25.8001230629668,0.2688747097115171,339289356.14285713,0.547802984267272
Europe & Central Asia,7.226431269682199,9398206.52377517,99.99000883166649,12.3898090115631,11.6598373335905,0.44199738670318883,907129596.2857143,0.694809812330072
Europe & Central Asia (IDA & IBRD countries),7.688467601458157,5207216.45085845,99.97996797749742,6.848342874091747,9.032534806983653,0.523643902008337,452916334.85714287,0.7474404738956183
Europe & Central Asia (excluding high income),7.718574094775289,4762188.50916561,99.97788568345608,6.20489467357819,8.554496582370577,0.5874864567151384,410719408.0,0.8371577030130483
European Union,6.683592272035533,4702090.24603613,100.0,15.644076480429426,25.908129075662103,0.2589716771252292,509461193.4285714,0.535139576931383
Faroe Islands,12.989366260460232,NaN,100.0,5.768219538297737,2.3327288562213,0.1999320720082036,48106.71428571428,0.5351080362128645
Fiji,1.3017799813888933,2258.17305672094,94.07562001546226,33.76026857174698,5.40746458334726,0.32767451481076826,871299.7142857143,1.2630784181888386
Finland,8.805978240771518,69072.9387223345,100.0,40.43821902772275,14.995527735508867,0.3399971025768477,5473650.428571428,0.5199841800523589
Fragile and conflict affected situations,0.8778542623470976,3519378.67731015,49.65722175461635,51.40794399545318,10.983184515129599,2.2728126313396975,482687390.5714286,3.183167027398603
France,4.903471966982132,499146.63449219294,100.0,13.174155038015424,25.871310669266666,0.3550751608343914,66468588.28571428,0.6823572944700113
French Polynesia,3.0068534450483164,NaN,100.0,9.542027208551183,1.95546306516142,0.5229470118669148,273216.0,0.7429243154973104
